name;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;type;price
Burger au poulet;;249;12,7;23,8;11;2,9;1,2;66;0,6;22;0,71;0,25;2,1;9,45;-;0,5;0,1;0,051;3,67;0,79;0,16;33,4;0,3;18,4;1,88;5,84;1,16;220;463;020;;;;;
Pan bagnat;;215;7,95;30,3;6,48;3,2;1,98;37,9;0,69;26,1;0,33;0,59;1,56;-;-;12,2;0,055;0,071;1,34;0,31;0,13;25,5;0,86;22,3;0,98;4,41;1,03;157;428;3,83;;;;;
Sandwich baguette, jambon, beurre;;285;9,93;33,7;11,5;2,34;3,17;54,6;0,95;34,7;1,22;0,21;0,4;-;-;3,09;0,31;0,1;2,21;0,32;0,17;17;0,15;31,3;5,92;3,88;1,69;171;675;3,41;;;;;
Sandwich baguette, camembert, beurre;;339;11,9;34,3;16,7;2,18;1,92;137;0,7;20,6;1,42;0,21;0,52;-;-;0;0,062;0,2;0,86;0,41;0,13;40,4;0,68;32,2;10,4;4,6;1,72;111;670;4,02;;;;;
Sandwich baguette, pâté, cornichons;;298;10,1;32,1;13,9;2,44;1,99;26,2;2,49;18,1;1,17;0,25;0,36;-;-;1,67;0,12;0,33;3,13;0,99;0,14;37,8;1;29,7;6,12;5,24;1,8;143;712;5,02;;;;;
Sandwich baguette, saucisson, beurre;;383;13,7;32;21,6;2,36;3,05;29,1;1,09;22,2;1,34;0,12;0,43;-;-;2;0,32;0,12;2,77;0,42;0,24;18;0,3;29,6;9,43;8,01;2,07;224;828;3,56;;;;;
Sandwich baguette, jambon, emmental, beurre;;286;12,2;32,7;10,9;2,87;4,17;188;0,83;23,2;1,79;0,36;0,42;-;-;2,33;0,25;0,14;1,73;0,31;0,14;15,8;0,47;28;5,3;3,91;1,54;152;614;5,03;;;;;
Sandwich (aliment moyen);;243;14,2;27,2;8,35;;1,4;97;1,1;16,9;1,3;;;;;;;;;;;;;;;;1,24;184;493;;;;;;
Toasts ou Canapés salés, garnitures diverses, préemballés;;233;9,09;17,8;13,3;5,75;2,8;153;1,79;23,4;1,38;0,32;0,42;-;-;1,57;0,27;0,27;3,43;0,6;0,16;26,1;0,72;11,7;5,94;5,31;1,11;152;445;3,77;;;;;
Sandwich baguette, crudités diverses, mayonnaise;;221;6,54;30;7,9;2,67;2,18;26,6;0,87;16,6;0,54;0,17;2,88;-;-;7,02;0,062;0,074;0,69;0,37;0,092;31,1;0,13;27,3;1,69;2,02;1,07;153;426;6,77;;;;;
Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;;255;12,4;30,6;8,82;2,24;1,86;23,3;0,99;19,8;0,97;0,05;3,14;-;-;3,11;0,07;0,083;2,19;0,43;0,16;19,5;0,32;28,3;1,94;2,06;1,1;174;446;12,9;;;;;
Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise;;247;8,52;30,9;9,47;2,38;1,89;33,6;1,08;16,4;0,68;0,43;2,99;-;-;3,31;0,07;0,14;0,59;0,55;0,092;39;0,3;28,5;2,18;2,57;1,13;135;457;8,6;;;;;
Sandwich baguette, porc, crudités (tomate, salade), mayonnaise;;267;12;30,1;10,6;2,3;1,86;21,6;0,98;19,2;1;0,05;3,14;-;-;3,11;0,21;0,1;1,67;0,37;0,16;19,9;0,45;27,8;2,61;3,02;1,1;178;449;10,4;;;;;
Sandwich baguette, merguez, ketchup moutarde;;282;13,1;31;11,4;2,92;1,81;26,6;1,25;20,9;1,31;0,084;0,82;-;-;0,64;0,12;0,11;2,14;0,34;0,15;15,3;0,51;28,1;5,2;4,59;2,12;280;851;6,68;;;;;
Sandwich baguette, salami, beurre;;379;12,5;33,2;21,4;2,01;1,82;25,3;1,41;17,5;1,39;0,34;0,31;-;-;0;0,15;0,1;1,7;0,47;0,14;14,5;0,54;31,2;9,65;8,32;2,76;160;1070;6,85;;;;;
