name;description;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;price;
Nectar d'ananas;;;-;0,1;13;0;11,2;0;13;-;8;-;-;-;-;-;-;0,02;0,01;-;-;0,05;-;-;-;0;-;0;90;0;-;;;;;
Nectar d'orange;;;-;0,29;8,79;0,08;8,79;0,18;7,69;-;5,96;0,041;-;-;-;-;21,2;0,04;0,01;0,17;-;0,01;10,8;-;-;0,005;-;0,018;82,8;6,51;0 2,2;;;;;
Boisson gazeuse, sans jus de fruit, non sucrée, avec édulcorants;;;-;0,05;0,16;traces;0,16;0;20;0,05;0;0,013;0;0;0;-;0;0;0;0;0;0;0;0;-;0;0;0,031;6;12,5;0,001;;;;;
Limonade, sucrée;;;-;0,04;8,45;0,02;8,45;traces;6,52;0,0092;0,58;0,01;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0,015;3,51;5,72;0 10;;;;;
Eau de coco;;;15,2;0,42;3,33;0,3;2,48;0,5;14;0,05;8,3;0,05;0,25;0,08;0,8;-;0,5;0,015;0,01;0,1;0,028;0,031;0 5;0;0,3;0,01;0,01;0,051;200;20,4;0 20;;;;;
Boisson à l'eau minérale ou de source, aromatisée, sucrée;;;-;0,086;3,48;0,086;3,48;0,044;11,7;traces;2,3;traces;0;0;-;-;0;0;0;0;0;0;0;0;0;traces;0;0,012;0,33;4,74;0,5;;;;;
Tonic ou bitter, non sucré, avec édulcorants;;;-;0,05;0,4;traces;0,4;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,13;-;50;-;;;;;
Tonic ou bitter, sucré, avec édulcorants;;;-;0;6,45;0;6,45;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;-;0;-;;;;;
Boisson au thé, aromatisée, sucrée, avec édulcorants;;;-;0;5,3;0;5,3;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;traces;-;traces;-;;;;;
Limonade, sucrée, avec édulcorants;;;-;0;3;0;3;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
Cola, sucré;;;41,8;0,093;10,2;0,062;10,2;0;1,92;0,11;2,44;0,016;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0,017;2;6,71;0 2,2;;;;;
Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée;;;46,6;0,067;11,3;0,028;9,92;traces;4,63;0,025;2,67;0,014;0;0;-;-;0;0;0;0;0;0;0;0;0;traces;0;0,033;26,5;13,5;0 10;;;;;
Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants;;;-;0,06;0,96;0,13;0,96;0,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,05;-;19,9;-;;;;;
Boisson plate aux fruits (à moins de 10% de jus), sucrée;;;-;0,1;4,4;0,1;4,38;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,017;-;6,86;-;;;;;
Boisson plate aux fruits (10 à 50% de jus de jus), sucrée, avec édulcorants;;;-;0;6,17;0;6,17;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,033;-;13,3;-;;;;;
Kombucha, préemballé;;;9,46;0,5;1,45;0,3;1,45;0,5;5,7;0,05;1,5;0,05;0,25;0,08;0,8;-;0,5;0,015;0,01;0,1;0,0077;0,01;0 5;0,01;0,3;0,01;0,01;0,0053;7,7;2,1;0 20;;;;;
